Date;Open*;High;Low;Close**;Volume;Market Cap
14/02/2014;0,213899;0,378883;0,213899;0,374024;15422;702537
15/02/2014;0,331111;0,354461;0,219434;0,314865;21119;1092120
16/02/2014;0,32584;0,459833;0,310345;0,406976;28017;1085280
17/02/2014;0,406039;1,5;0,402588;1,45;178618;1360260
18/02/2014;1,18;1,5;0,841751;1,04;160779;3960320
19/02/2014;1,04;1,21;0,851995;0,941647;60551;3497850
20/02/2014;0,941944;1,23;0,894865;1,06;93281;3196180
21/02/2014;1,05;1,33;1,02;1,13;83008;3590320
22/02/2014;1,12;1,26;0,696502;1,24;101024;3833460
23/02/2014;1,15;3,36;0,623443;1,15;115234;3945250
24/02/2014;1,18;1,19;0,418532;0,841903;109256;4082000
25/02/2014;0,839383;0,839383;0,527474;0,527474;69493;2902860
26/02/2014;0,620399;0,739818;0,494515;0,619451;49321;2153440
27/02/2014;0,616643;0,742251;0,549852;0,61939;15148;2148350
28/02/2014;0,618662;0,625539;0,458697;0,550661;60517;2163860
01/03/2014;0,549616;1,07;0,528973;0,937342;252311;1929800
02/03/2014;0,936036;1,08;0,815903;1,03;148259;3298980
03/03/2014;1,03;4,4;0,935749;1,21;271197;3651050
04/03/2014;1,21;1,21;0,970883;0,987557;90550;4283970
05/03/2014;0,987192;1,07;0,941151;1,03;93138;3515760
06/03/2014;1,03;1,05;0,952003;1,05;68896;3692890
07/03/2014;1,06;1,1;0,877912;0,877912;112877;3787000
08/03/2014;0,911867;0,953494;0,85686;0,914905;70281;3285680
09/03/2014;0,913189;0,958778;0,806353;0,872964;48781;3296790
10/03/2014;0,872114;0,91216;0,745242;0,810256;45946;3159030
11/03/2014;0,807598;0,922435;0,764712;0,8913;42234;2934810
12/03/2014;0,888208;0,953882;0,858214;0,865936;39530;3238290
13/03/2014;0,865569;0,895094;0,810772;0,833336;31123;3166030
14/03/2014;0,83338;0,84608;0,78516;0,811341;26274;3057150
15/03/2014;0,812077;0,816057;0,739031;0,7912;30817;2979000
16/03/2014;0,791673;0,800764;0,755205;0,775647;39429;2924440
17/03/2014;0,772496;0,821393;0,749368;0,781925;34416;2863030
18/03/2014;0,77927;0,780172;0,730293;0,75221;39252;2897450
19/03/2014;0,750897;0,768236;0,728004;0,743559;35742;2800990
20/03/2014;0,743256;0,755714;0,701852;0,725089;42290;2781320
21/03/2014;0,724498;0,751899;0,679063;0,704648;28087;2719600
22/03/2014;0,704266;0,718955;0,681694;0,71468;24618;2652100
23/03/2014;0,715596;0,728952;0,693478;0,718257;34977;2703390
24/03/2014;0,719851;0,892484;0,700397;0,866518;136677;2727950
25/03/2014;0,868912;0,900979;0,795766;0,8201;78095;3302840
26/03/2014;0,819494;0,870226;0,79043;0,858815;39790;3124140
27/03/2014;0,864728;0,865513;0,6835;0,6835;32991;3305920
28/03/2014;0,692062;0,774768;0,683257;0,697426;27851;2653470
29/03/2014;0,709294;0,728762;0,702573;0,703475;23667;2727370
30/03/2014;0,708306;0,710038;0,612809;0,662486;30985;2731140
31/03/2014;0,665123;0,68689;0,624873;0,641774;15608;2571600
01/04/2014;0,641783;0,747204;0,638385;0,724105;36211;2488370
02/04/2014;0,725259;0,740497;0,589991;0,615044;21722;2819600
03/04/2014;0,614065;0,666765;0,573639;0,638183;18610;2393680
04/04/2014;0,640371;0,662537;0,62528;0,648937;11863;2502840
05/04/2014;0,640305;0,703904;0,620445;0,700444;28674;2509580
06/04/2014;0,700828;0,723713;0,630182;0,641513;13167;2754220
07/04/2014;0,6478;0,64933;0,590722;0,6041;45233;2552670
08/04/2014;0,606079;0,628222;0,580698;0,603018;21411;2395150
09/04/2014;0,603431;0,61673;0,583104;0,587437;9604;2390830
10/04/2014;0,587616;0,591656;0,44896;0,457036;16417;2334430
11/04/2014;0,453743;0,576868;0,441314;0,548907;18946;1807350
12/04/2014;0,548831;0,591372;0,535384;0,571875;18959;2191980
13/04/2014;0,572342;0,576653;0,520363;0,539027;15789;2291840
14/04/2014;0,538982;0,6012;0,521968;0,583917;29214;2164120
