Date;Open*;High;Low;Close**;Volume;Market Cap
21/05/2014;2,47;2,65;1,23;1,6;246540;2079640
22/05/2014;1,59;2,19;1,36;2,1;132918;1371470
23/05/2014;2,05;3,43;2,05;2,96;266852;1816200
24/05/2014;2,92;4,01;2,62;3,7;248028;2653720
25/05/2014;4,04;4,04;2,8;3,14;283545;3774890
26/05/2014;3,22;3,76;2,31;3,02;220148;3070190
27/05/2014;3,03;3,03;2,07;2,21;97603;2958060
28/05/2014;2,24;2,85;1,91;2,27;177716;2231880
29/05/2014;2,21;2,49;1,68;1,68;109157;2251030
30/05/2014;1,68;1,87;1,08;1,57;119296;1742630
31/05/2014;1,58;2,28;1,41;1,94;117399;1675440
01/06/2014;1,94;2,57;1,54;1,74;130602;2111850
02/06/2014;1,76;1,94;1,6;1,73;47672;1964820
03/06/2014;1,73;2,1;1,65;1,93;91332;1966370
04/06/2014;1,93;1,99;1,71;1,81;51886;2238440
06/06/2014;1,46;1,51;1,17;1,24;100635;1781530
07/06/2014;1,24;1,69;1,21;1,36;44187;1523430
08/06/2014;1,36;1,44;1,24;1,34;40634;1702900
09/06/2014;1,33;1,64;1,27;1,52;56500;1697580
10/06/2014;1,48;2,39;1,31;1,73;182599;1917820
11/06/2014;1,72;2,17;1,53;1,62;85735;2279840
12/06/2014;1,62;2,17;1,53;1,74;108619;2174900
13/06/2014;1,65;1,96;1,62;1,92;84237;2257650
14/06/2014;1,93;2,82;1,88;2,34;276919;2677530
15/06/2014;2,32;2,75;2,25;2,69;150652;3288170
16/06/2014;2,72;3,55;2,62;3,18;438776;3905660
17/06/2014;3,15;3,31;2,72;2,82;228445;4601540
18/06/2014;2,9;2,98;2,46;2,79;183102;4304890
19/06/2014;2,78;3,52;2,68;3,13;283962;4188790
20/06/2014;3,17;4,59;3,12;4,56;543764;4844000
21/06/2014;4,33;5,85;4,14;5,01;723077;6730580
22/06/2014;4,98;5,21;4,02;4,35;491984;7853920
23/06/2014;4,28;4,82;3,77;3,98;433301;6851250
24/06/2014;3,93;4,07;2,96;3,28;150995;6374590
25/06/2014;3,23;3,39;2,63;3,39;217183;5313820
26/06/2014;3,28;3,38;2,8;2,89;117740;5471230
27/06/2014;2,98;3;2,07;2,2;250643;5044180
28/06/2014;2,32;2,9;2,25;2,55;184970;3997740
29/06/2014;2,55;2,76;2,26;2,54;138511;4434960
30/06/2014;2,55;2,7;2,44;2,5;124575;4484350
01/07/2014;2,51;2,65;2,34;2,35;98540;4470350
02/07/2014;2,34;2,54;2,26;2,31;101095;4225600
03/07/2014;2,31;2,82;2,23;2,64;168532;4217730
04/07/2014;2,64;3;2,54;2,64;148555;4899760
05/07/2014;2,64;2,64;2,44;2,47;68525;4956910
06/07/2014;2,47;2,48;2,29;2,4;77663;4690900
07/07/2014;2,4;2,4;1,95;1,99;111370;4609840
08/07/2014;1,98;2,36;1,97;2,35;94993;3851290
09/07/2014;2,3;2,31;1,99;2,01;69554;4518280
10/07/2014;2,03;2,09;1,86;1,89;89099;4033590
11/07/2014;1,86;1,92;1,72;1,79;116666;3746700
12/07/2014;1,79;1,94;1,72;1,73;65375;3648870
13/07/2014;1,73;1,97;1,46;1,79;122049;3562450
14/07/2014;1,79;1,99;1,62;1,97;100284;3716450
15/07/2014;1,95;2,2;1,79;2,11;136205;4096760
16/07/2014;2,16;2,93;2,05;2,71;353430;4585570
17/07/2014;2,71;3,58;2,64;2,98;503684;5804450
18/07/2014;3,03;3,29;2,46;2,62;348336;6577180
19/07/2014;2,59;3,07;2,54;2,88;169471;5680000
20/07/2014;2,88;2,93;2,58;2,63;116853;6372740
21/07/2014;2,67;3,14;2,65;3,09;243140;5978470
22/07/2014;3,09;3,32;3,01;3,2;262049;6966760
23/07/2014;3,2;3,24;2,84;2,91;274946;7296220
24/07/2014;2,92;2,97;2,28;2,36;292547;6717400
25/07/2014;2,37;2,71;2,31;2,71;182887;5500730
26/07/2014;2,7;2,77;2,51;2,62;125320;6327920
27/07/2014;2,62;2,65;2,45;2,55;111827;6211480
28/07/2014;2,55;2,7;2,42;2,7;141903;6102470
29/07/2014;2,7;2,8;2,56;2,62;272756;6507970
30/07/2014;2,62;2,63;2,5;2,54;79830;6374650
31/07/2014;2,52;2,64;2,49;2,55;111065;6187770
01/08/2014;2,57;2,67;2,49;2,67;145177;6361190
02/08/2014;2,67;2,73;2,5;2,5;101031;6665580
03/08/2014;2,5;2,5;2,25;2,36;144327;6295750
04/08/2014;2,36;37,78;1,99;2,01;234647;5992660
05/08/2014;2,01;2,2;1,98;2,15;94391;5154370
06/08/2014;2,2;2,28;2,13;2,19;76411;5698660
07/08/2014;2,19;2,24;2,1;2,14;88304;5713790
08/08/2014;2,14;2,21;2,11;2,18;87502;5636120
09/08/2014;2,17;2,18;2,08;2,1;72351;5760020
10/08/2014;2,05;2,12;1,99;2,06;80847;5482750
11/08/2014;2,04;2,17;1,93;2,08;132234;5505760
12/08/2014;2,08;2,1;1,97;2;114580;5649600
13/08/2014;2;2,04;1,83;1,9;89506;5465790
14/08/2014;1,91;1,92;1,69;1,76;99815;5280750
15/08/2014;1,78;1,8;1,52;1,59;182760;4932750
16/08/2014;1,59;1,61;1,49;1,6;82703;4413540
17/08/2014;1,6;1,65;1,42;1,46;72244;4447240
18/08/2014;1,47;1,65;1,34;1,45;108222;4074930
19/08/2014;1,45;1,65;1,39;1,65;98273;4013520
20/08/2014;1,66;1,96;1,61;1,83;286655;4795780
21/08/2014;1,84;1,9;1,78;1,82;141302;5337170
22/08/2014;1,82;1,9;1,75;1,78;118268;5331550
23/08/2014;1,78;1,86;1,73;1,81;81316;5236920
24/08/2014;1,81;1,97;1,81;1,95;113086;5377400
25/08/2014;1,95;2,08;1,89;2,05;179315;5843100
26/08/2014;2,09;2,1;1,9;2,01;191411;6291750
27/08/2014;2,01;2,04;1,94;2,01;125364;6098760
28/08/2014;2;2,24;2;2,21;246829;6110120
29/08/2014;2,18;2,28;2,14;2,21;219724;6708610
30/08/2014;2,21;2,49;2,19;2,44;270668;6832530
31/08/2014;2,43;2,56;2,1;2,17;308396;7577360
01/09/2014;2,17;2,28;1,97;2,04;268279;6827450
02/09/2014;2,05;2,07;1,89;1,96;218797;6464120
03/09/2014;1,95;2,09;1,9;2,03;153437;6205680
04/09/2014;2,03;2,16;1,88;2,05;186620;6507160
05/09/2014;2,05;2,11;1,86;1,98;168193;6595670
06/09/2014;1,98;2;1,9;1,95;120274;6411200
07/09/2014;1,94;1,97;1,84;1,88;151671;6324720
08/09/2014;1,88;1,92;1,79;1,87;158829;6166130
09/09/2014;1,88;1,89;1,75;1,77;129058;6200410
10/09/2014;1,77;2,08;1,76;1,97;280005;5876080
11/09/2014;1,97;2,07;1,92;1,94;173065;6583810
12/09/2014;1,94;2;1,82;1,88;166282;6544780
13/09/2014;1,88;1,89;1,79;1,85;156820;6365210
14/09/2014;1,85;1,89;1,79;1,82;123269;6308010
15/09/2014;1,82;1,91;1,81;1,9;132403;6241990
